,index,Valore_mean_max,Valore_mean_mean,Valore_mean_std,Data
0,0,75.61708794677546,45.45298038766789,30.360625292863748,2020-01-01
1,1,86.009375,57.93120169760796,32.40650591293152,2020-01-02
2,2,71.41924603174604,52.181673465423465,15.663367611780478,2020-01-03
3,3,79.08740079365079,62.985492584640625,25.73312127283347,2020-01-04
4,4,86.49407190032191,53.75020248848374,35.7431623284446,2020-01-05
5,5,86.53164682539682,52.20059622668997,35.433862834165616,2020-01-06
6,6,80.24246031746031,47.60958333333333,29.001101786497667,2020-01-07
7,7,82.8718253968254,48.30742446789322,25.071884671733176,2020-01-08
8,8,83.09980158730158,60.499532018499885,25.06319324776536,2020-01-09
9,9,87.01970486111111,41.81924851190476,28.372803494305423,2020-01-10
10,10,91.13133503401362,64.18818425621997,32.42801035252619,2020-01-11
11,11,79.1009548611111,60.0912953539516,23.91893252703297,2020-01-12
12,12,81.10704365079366,70.48091418997669,12.882279329102268,2020-01-13
13,13,92.13498263888889,64.67774217962514,24.432876521038786,2020-01-14
14,14,88.34930555555556,51.01236331376957,32.98094399270637,2020-01-15
15,15,93.98174603174603,70.43231037414967,23.577124005129086,2020-01-16
16,16,82.12890625,57.842043650793656,23.734063244360183,2020-01-17
17,17,89.9811507936508,74.4173137452825,15.331682002638539,2020-01-18
18,18,94.43323412698412,66.20031966102168,26.606039959759876,2020-01-19
19,19,91.92890625,69.44943552974803,33.03031566606636,2020-01-20
20,20,97.91092865467866,68.33365650668776,37.786830998765595,2020-01-21
21,21,95.80084915084915,71.85340048449203,37.15433662896986,2020-01-22
22,22,91.1060515873016,67.77987150002775,31.17377747679253,2020-01-23
23,23,89.50406746031744,82.03604138916639,11.139841107550145,2020-01-24
24,24,100.95486111111111,67.87240957714371,40.59013060724718,2020-01-25
25,25,113.3543179043179,79.19998064435563,38.5908786493533,2020-01-26
26,26,83.5519200417638,56.16483636326507,29.74370050169455,2020-01-27
27,27,105.47309027777777,67.15067708333333,30.877494037262842,2020-01-28
28,28,108.995325247669,86.76261467625164,22.020067736927768,2020-01-29
29,29,89.92960069444445,55.42126240079365,26.411298012908166,2020-01-30
30,30,99.38164682539683,51.94094003219003,41.110410877365204,2020-01-31
31,31,49.77843892218892,22.031863316082063,16.344752028594005,2020-02-01
32,32,83.65316567113443,44.77130140692641,29.489999202735433,2020-02-02
33,33,95.21892361111111,50.522496607352245,37.285026006580324,2020-02-03
34,34,115.71380208333332,72.54805734196358,46.53197025889778,2020-02-04
35,35,127.88776041666667,58.81967553280053,58.27318316870407,2020-02-05
36,36,124.74756944444444,64.53267201548451,52.0230574521027,2020-02-06
37,37,124.14913194444445,73.75013524669774,41.23201675419682,2020-02-07
38,38,126.20841029040123,88.34747898684593,40.17605068647797,2020-02-08
39,39,104.1782986111111,71.73446987040737,25.225454937850234,2020-02-09
40,40,104.24956154956156,40.251329963217835,38.2696816553588,2020-02-10
41,41,134.39479166666666,105.46775599400601,45.97124356690395,2020-02-11
42,42,142.60347222222222,85.64795489232989,54.368396985149076,2020-02-12
43,43,135.18303016428015,101.85650881803693,39.19128935202708,2020-02-13
44,44,146.04474206349207,133.7198682220557,12.117582647376954,2020-02-14
45,45,136.67977430555555,128.17516053391054,10.311344752986015,2020-02-15
46,46,139.06234113109113,105.48231324231324,33.215932368546554,2020-02-16
47,47,141.85980902777777,89.64755987068489,54.334121996996416,2020-02-17
48,48,142.93430944055945,93.58483908452658,43.902405412888946,2020-02-18
49,49,143.41165197649573,87.14475265805623,44.659683085199134,2020-02-19
50,50,133.97682291666666,99.46876872345182,39.588211987492585,2020-02-20
51,51,136.4217013888889,116.7440959324322,19.896355568628042,2020-02-21
52,52,154.6950663349917,104.49685815359321,49.60374988386307,2020-02-22
53,53,131.37940531690532,79.46390523697741,47.03733325239103,2020-02-23
54,54,158.18420138888888,117.09323672079988,53.180929147048985,2020-02-24
55,55,158.47864583333333,109.8684375,64.11217513888113,2020-02-25
56,56,154.12837301587302,146.3394271717621,9.404436898799876,2020-02-26
57,57,160.1513888888889,132.0323759920635,23.476736011936932,2020-02-27
58,58,179.44592013888888,128.39857122044623,69.08394816710795,2020-02-28
59,59,39.95078125,39.95078125,,2020-02-29
60,60,180.16363497613497,115.70594698386512,78.47063412773186,2020-03-01
61,61,173.21400682650685,99.86451012529139,76.91770723360484,2020-03-02
62,62,161.37239583333334,83.11471582123211,56.18147074332654,2020-03-03
63,63,182.1691840277778,87.84697273212899,66.44595295479732,2020-03-04
64,64,182.13517505088808,122.08031889643026,59.087726194542995,2020-03-05
65,65,127.77369791666666,87.75041455072704,32.42256447631573,2020-03-06
66,66,195.38238566988568,134.7510841415529,74.58385382722884,2020-03-07
67,67,187.25545634920633,178.3686782488345,9.193386962732045,2020-03-08
68,68,185.5426198801199,149.655334491897,48.600703659422926,2020-03-09
69,69,207.3770881895882,140.7943975642413,69.82446594781177,2020-03-10
70,70,196.3412326388889,117.83067419270544,82.88773365569136,2020-03-11
71,71,204.1827380952381,138.50597855973916,65.97586848393259,2020-03-12
72,72,194.80307539682536,179.2672519147519,18.274254372309933,2020-03-13
73,73,202.46785714285716,161.62661166029784,73.37688694781404,2020-03-14
74,74,211.71557539682541,155.3009871031746,72.93879266166964,2020-03-15
75,75,221.0143849206349,201.56635416666666,14.706222119125945,2020-03-16
76,76,200.27317101301477,133.62583974965384,85.73807050241712,2020-03-17
77,77,226.24994718822845,157.64037740037742,74.0169346976246,2020-03-18
78,78,217.22786458333334,162.521778984904,71.16406524173433,2020-03-19
79,79,214.764898989899,163.73442796408375,46.47867205100995,2020-03-20
80,80,225.03734824203576,179.74458716630593,58.14462912914127,2020-03-21
81,81,226.00526311154613,168.23769896208054,67.86573129848034,2020-03-22
82,82,229.20992063492062,167.6311441336441,84.84314207697572,2020-03-23
83,83,231.8435218586187,175.67450186877454,78.48955756510237,2020-03-24
84,84,229.12326388888889,187.6147965833014,51.17698788013368,2020-03-25
85,85,233.98159540112667,173.903407315847,63.25932773154703,2020-03-26
86,86,233.51717414529912,172.0111989571697,63.32140053615142,2020-03-27
87,87,235.12390873015872,201.90682583569813,43.687169278514205,2020-03-28
88,88,234.20961463223787,183.19744972579258,73.4987790658366,2020-03-29
89,89,242.6387116099374,184.95047415649458,65.64043464788614,2020-03-30
90,90,245.4235855131762,185.54566420912812,65.28531894069728,2020-03-31
91,91,264.29255952380953,217.38619206277878,33.66308291070289,2020-04-01
92,92,247.27636217948717,192.59314942002442,52.569273624282516,2020-04-02
93,93,250.64472631241998,171.52073144505144,92.6950730151184,2020-04-03
94,94,251.846626984127,152.43354647089024,114.48062478080298,2020-04-04
95,95,250.4940195221445,209.32236935990454,30.002537879958165,2020-04-05
96,96,256.2675276112776,226.70949698408987,51.29892567969731,2020-04-06
97,97,274.7875541125541,206.5654834748585,80.86429000754843,2020-04-07
98,98,271.0940476190476,250.93541057900433,25.432038244182035,2020-04-08
99,99,257.45678539354816,188.7911317484843,86.50676801149855,2020-04-09
100,100,267.33283799533797,171.54409264420048,90.24068679113716,2020-04-10
101,101,269.1254291715229,136.11713940573316,108.4416840062321,2020-04-11
102,102,265.25744463869466,166.32187886766013,86.08239653534761,2020-04-12
103,103,258.06118796109996,220.05266027277693,36.34122420044068,2020-04-13
104,104,288.6539718094406,210.9627037592495,86.39209514971215,2020-04-14
105,105,273.8085670405983,195.39853778630408,86.19663077326514,2020-04-15
106,106,271.4989676989677,241.83451700172873,17.85644093766598,2020-04-16
107,107,275.66477897102897,259.2696327457265,15.972908465540993,2020-04-17
108,108,268.20885572760574,230.312162004662,35.683429685477826,2020-04-18
109,109,273.2238095238095,248.9664730921413,34.41724254079435,2020-04-19
110,110,299.63024116923765,235.00582857946227,108.49439133967138,2020-04-20
111,111,296.21312506937505,217.00600338897215,89.44740015993206,2020-04-21
112,112,292.2712072649573,258.5641007508239,55.91285766525707,2020-04-22
113,113,286.90112847222224,223.10739289661825,112.80138571362328,2020-04-23
114,114,282.80319168800685,203.11604630771225,105.3451273164183,2020-04-24
115,115,284.5073279004837,206.69620487469302,100.99968962322912,2020-04-25
116,116,276.19003080253077,153.08630951532754,109.84111098192466,2020-04-26
117,117,296.176533157277,153.72052488542366,93.97184440582099,2020-04-27
118,118,309.3573179627701,219.00777394886435,76.94101708512434,2020-04-28
119,119,309.47501318126314,221.51197551739142,105.34251031468939,2020-04-29
120,120,304.5106431921463,230.61587364757696,87.28184522345225,2020-04-30
121,121,308.97799860057785,143.5942384945356,107.66104873293064,2020-05-01
122,122,301.77512959702665,226.64979436276752,102.62007482878607,2020-05-02
123,123,307.0571241258741,186.32876956376953,103.1561247321237,2020-05-03
124,124,291.2263888888889,223.48527299016513,68.4789051560508,2020-05-04
125,125,310.79545454545456,213.40270090726958,77.30940722125113,2020-05-05
126,126,325.7176798028361,226.84802995615496,104.07998003294121,2020-05-06
127,127,312.5396707459207,232.74460953976578,83.59331191897483,2020-05-07
128,128,283.5043191179348,220.3025003899661,105.45875558169844,2020-05-08
129,129,306.9068108974359,271.99777586206153,35.895204060930965,2020-05-09
130,130,302.18256604506604,230.00263214051716,52.5628635380386,2020-05-10
131,131,255.18186268096983,117.94376779718297,83.94756641183096,2020-05-11
132,132,298.90808774558775,213.59256614912866,65.02749981477821,2020-05-12
133,133,318.6433531746032,211.31704352938726,113.68921509657385,2020-05-13
134,134,303.117922008547,239.63666106462983,42.20691171719436,2020-05-14
135,135,323.4080072705073,228.8223737547175,74.08946502728521,2020-05-15
136,136,314.6269045606194,232.47019558774724,92.85812401274283,2020-05-16
137,137,316.5280753968254,254.89676314100606,63.57808435847213,2020-05-17
138,138,310.6459325396826,241.5035861013986,101.20564992438584,2020-05-18
139,139,306.3017771531069,182.22004256395948,88.75182796205355,2020-05-19
140,140,345.4967164095685,251.69571111253768,99.43061776730816,2020-05-20
141,141,336.8040071040071,303.72256244817106,32.98340857202774,2020-05-21
142,142,325.7919647351865,264.00273197606384,68.44188153836082,2020-05-22
143,143,327.784294264763,295.1950061922135,35.16024098743941,2020-05-23
144,144,378.6334138084138,267.5288415057165,130.98910914038257,2020-05-24
145,145,385.91517857142856,322.37082626758024,49.996741787301914,2020-05-25
146,146,333.4089306526807,287.67343994752935,47.682776735976844,2020-05-26
147,147,340.3064302884615,266.426525523088,117.44463283843793,2020-05-27
148,148,320.6019966144966,269.5865161401099,71.03464674959831,2020-05-28
149,149,319.73528252850434,274.44719855115545,51.25305165577839,2020-05-29
150,150,346.59762945387945,289.4640124383388,61.096568226175634,2020-05-30
151,151,346.43888949592076,299.6362516303141,34.31489371743845,2020-05-31
152,152,343.5274943268781,327.88459778093585,12.44351993762903,2020-06-01
153,153,337.7480781371406,312.353624465812,43.40078680551353,2020-06-02
154,154,338.2098029574592,317.3334766710207,24.14336341167961,2020-06-03
155,155,325.8439621336148,219.272725438156,116.54332720608593,2020-06-04
156,156,345.2211805555556,274.07917630980126,83.27731082676402,2020-06-05
157,157,319.58440379065377,253.99769324425574,51.784478336289716,2020-06-06
158,158,350.84626548138874,236.51311651018872,113.72594555773772,2020-06-07
159,159,318.6268308080808,235.62479676573426,73.04671163088355,2020-06-08
160,160,345.75348054723054,260.79027618215116,79.14343836624086,2020-06-09
161,161,326.92817044067044,269.09183974358973,73.70141941303919,2020-06-10
162,162,326.46557506460675,241.2501323446702,69.49481317504281,2020-06-11
163,163,326.3591846822269,276.759123648413,60.795949766680856,2020-06-12
164,164,353.67109375,291.2979688887502,77.63257095658226,2020-06-13
165,165,327.38173714275337,286.8668566415599,33.07876388312325,2020-06-14
166,166,315.3593524531025,284.1719943273815,26.443308342731232,2020-06-15
167,167,350.33524305555557,292.7626291903845,48.702359494886714,2020-06-16
168,168,346.2865327063391,293.45410065531104,63.75014655650592,2020-06-17
169,169,348.8322294880394,316.0413801170954,26.52688382683769,2020-06-18
170,170,342.8101419413919,306.95144255954335,36.79042792136042,2020-06-19
171,171,344.474054227023,292.11650883491507,62.99989011429597,2020-06-20
172,172,346.2512911567599,298.577000572784,36.841740142403026,2020-06-21
173,173,347.96505135489514,280.70351537498107,67.87054198230327,2020-06-22
174,174,341.0875358148796,322.48169592560214,29.92981693749037,2020-06-23
175,175,327.70986305361305,307.1890190086713,21.591911208028733,2020-06-24
176,176,349.39509795759795,302.35074775918525,37.49498972969585,2020-06-25
177,177,340.5256340881341,304.97160197685724,32.1797628190114,2020-06-26
178,178,335.5456654456654,291.94966838864445,41.69807611442227,2020-06-27
179,179,334.17854506604505,286.06113317287173,80.26591345365352,2020-06-28
180,180,336.66957447103727,297.1484644669595,51.24888777800528,2020-06-29
181,181,336.68934884559883,299.2543841709445,36.168118584063244,2020-06-30
182,182,344.14578130203125,298.61473031760886,43.670794789266374,2020-07-01
183,183,330.3212253024753,312.510134047535,19.59300726130378,2020-07-02
184,184,339.000040931291,286.8523758355746,47.90078995468227,2020-07-03
185,185,338.3206265956266,283.7802087151405,101.62683630636035,2020-07-04
186,186,334.64835069444445,303.3865577168104,38.66559770321489,2020-07-05
187,187,324.9542318792319,312.86756553085996,10.147986247305587,2020-07-06
188,188,336.6134897965884,307.89966666769266,31.428234610425626,2020-07-07
189,189,333.11520493395494,292.0890355106552,67.30595137712362,2020-07-08
190,190,347.75376845376843,284.98743242941526,69.97363423794317,2020-07-09
191,191,329.5032639309048,296.2715782080791,26.71943046855543,2020-07-10
192,192,334.7125532711969,245.0948824564395,65.50405267976318,2020-07-11
193,193,330.9996394230769,279.3374034921944,49.749529582416955,2020-07-12
194,194,314.62997280497285,282.59682870948495,30.206731596050655,2020-07-13
195,195,315.2463541324677,274.9586797821701,34.098770842733174,2020-07-14
196,196,291.9697776514266,226.34947674518153,68.3298077936019,2020-07-15
197,197,335.26393534820033,276.9854245221719,76.80094937941823,2020-07-16
198,198,317.645066045066,301.57408175158173,21.102067372822898,2020-07-17
199,199,325.01080354830356,298.58567561953566,30.298191482532506,2020-07-18
200,200,325.27919967723005,306.4322014125721,19.04702901855575,2020-07-19
201,201,318.70823256604507,289.43924744237245,29.48270757071046,2020-07-20
202,202,312.9775173611111,258.784620157455,69.39265797976178,2020-07-21
203,203,322.89070738412494,298.83299457511555,14.737813413326046,2020-07-22
204,204,318.1479524159982,302.17638038612733,14.873390258737675,2020-07-23
205,205,303.95010198135196,233.0062822303329,74.31102546687777,2020-07-24
206,206,332.3526508214008,289.6400712612669,51.65335233254956,2020-07-25
207,207,307.60535887723387,270.72044580753425,52.90789345468717,2020-07-26
208,208,304.33849122317434,243.44832241213402,66.77912698841816,2020-07-27
209,209,290.199281968032,246.8075621947497,42.7505217767243,2020-07-28
210,210,314.97757745726494,293.1807316636806,18.25184559215448,2020-07-29
211,211,314.6031826680264,279.67566691988566,32.4329684277008,2020-07-30
212,212,298.3826449592075,259.7943530601343,45.28357270185109,2020-07-31
213,213,286.26258680555554,254.36627244796477,41.21342809508506,2020-08-01
214,214,290.3381045597595,267.96708313082655,26.9724759495908,2020-08-02
215,215,312.4305302397622,231.02979931648946,96.46334433017788,2020-08-03
216,216,300.8362067985778,237.49276038703488,97.06460392858283,2020-08-04
217,217,310.52664930555557,295.05246650254094,10.340108333994715,2020-08-05
218,218,306.7145218533423,266.50925066326477,42.001730515359945,2020-08-06
219,219,293.4728383595571,233.2914587379368,70.20750864469011,2020-08-07
220,220,292.9168396707459,261.85630808714666,29.971412022704175,2020-08-08
221,221,292.95607794982794,261.52310091201423,28.208105096789502,2020-08-09
222,222,282.844246031746,249.30734387140637,48.26531232305916,2020-08-10
223,223,285.68439444944727,244.97747134565356,38.343021618393124,2020-08-11
224,224,304.94631197245633,239.34432086033098,59.86533163665807,2020-08-12
225,225,267.75908327783327,230.83529638153317,53.38200934054246,2020-08-13
226,226,275.9844246031746,255.72293071511822,27.90995958091912,2020-08-14
227,227,294.09603174603177,276.33115669053166,12.73398881419673,2020-08-15
228,228,275.737934981685,246.49612658175155,31.358162795557117,2020-08-16
229,229,286.1955731768232,250.43941331238207,39.56504478124737,2020-08-17
230,230,286.66686022311023,253.57431398462649,23.765929871781175,2020-08-18
231,231,259.03003957847704,244.01371565934065,11.524083267545974,2020-08-19
232,232,277.2278638028638,239.55381443209566,38.32671065643853,2020-08-20
233,233,274.5818521756022,253.3502363435176,14.414383043935903,2020-08-21
234,234,273.09337676212675,239.6648226079476,29.260626037251033,2020-08-22
235,235,266.4717261904762,222.70349253177378,51.96873467826528,2020-08-23
236,236,248.80078948828947,230.80909882436634,17.352297667694845,2020-08-24
237,237,253.39345238095237,215.96738927128231,62.809918302605936,2020-08-25
238,238,273.710415972916,244.6943765435953,26.14184854082259,2020-08-26
239,239,271.54107142857146,222.0619589084136,41.45592073333837,2020-08-27
240,240,254.86825396825398,170.23573386873446,84.7787767748699,2020-08-28
241,241,268.784623015873,209.6226538724382,78.84305165980078,2020-08-29
242,242,247.04754394910645,232.1968612984238,15.624260020324993,2020-08-30
243,243,223.5988095238095,170.88444328241204,53.49827116658448,2020-08-31
244,244,261.3506625319125,206.5011793224381,67.07639131226459,2020-09-01
245,245,252.82321012321015,166.31214849582148,76.43936424218025,2020-09-02
246,246,259.00618756243756,242.99123996675274,9.460420562766148,2020-09-03
247,247,249.21895699246076,235.42903262708947,8.110656212863587,2020-09-04
248,248,245.36207473082473,221.7971421914374,38.68320530052992,2020-09-05
249,249,229.92405094905095,189.3675044226607,60.067205542991054,2020-09-06
250,250,207.05992063492064,181.3377508949384,40.77583624223016,2020-09-07
251,251,224.3286172161172,204.27028403203798,19.76511879763197,2020-09-08
252,252,242.79614335317459,199.7153289592352,47.814230793732705,2020-09-09
253,253,214.01633089133088,148.96441416222666,62.601600157038526,2020-09-10
254,254,226.3714610042735,194.32400332306582,39.37260577969455,2020-09-11
255,255,230.53745386557887,217.11767753080252,9.214147354232333,2020-09-12
256,256,224.53645833333331,208.33337011873104,11.718535927321224,2020-09-13
257,257,213.89222756410254,163.67052884615384,70.23324774031315,2020-09-14
258,258,205.9390873015873,145.83642857142857,54.37964007924563,2020-09-15
259,259,198.14184027777776,166.7198363095238,39.90794092515332,2020-09-16
260,260,210.9659722222222,198.53839535464536,12.693497720723684,2020-09-17
261,261,200.20426587301586,149.32198482545755,33.35557648711457,2020-09-18
262,262,207.17686896436894,158.7062974698912,34.5575063934172,2020-09-19
263,263,220.69499250749251,181.08655306499057,28.81514446932858,2020-09-20
264,264,215.75624999999997,180.8626339285714,42.19894669929667,2020-09-21
265,265,195.91408730158727,134.37887700840824,61.25200146814955,2020-09-22
266,266,199.00001803751803,164.46811972749472,28.283042038880076,2020-09-23
267,267,209.937688006438,167.19441818598068,46.57955313458649,2020-09-24
268,268,190.21424894549892,134.51100455100453,60.529283908831864,2020-09-25
269,269,207.23878968253968,136.18015212218336,71.22484546970644,2020-09-26
270,270,200.71775793650795,159.46768927253305,42.12971922910439,2020-09-27
271,271,200.95079365079366,175.30837152430902,22.714315014805038,2020-09-28
272,272,194.04900793650793,167.65929646742148,24.58044252749779,2020-09-29
273,273,191.03012031371406,162.2080595272783,32.664796671795635,2020-09-30
274,274,182.88521825396828,93.41958229565942,59.7840164561645,2020-10-01
275,275,189.2572420634921,130.89309020840273,70.48217088892149,2020-10-02
276,276,197.03449701340327,124.27699028402154,70.26080556843714,2020-10-03
277,277,177.86150793650793,107.4271063485126,61.24149163723155,2020-10-04
278,278,167.50415391899767,129.47537720959596,46.004220828771444,2020-10-05
279,279,174.8453373015873,106.22452363608613,44.60778307945701,2020-10-06
280,280,180.2219246031746,162.5320366612554,14.778014936607784,2020-10-07
281,281,172.42867063492062,154.3341210069837,22.50411056326334,2020-10-08
282,282,159.62728174603174,110.85021081349207,53.22498148415005,2020-10-09
283,283,160.88462301587302,143.64883014554889,14.596666599050577,2020-10-10
284,284,168.47986111111112,100.82368150946277,58.89741384330219,2020-10-11
285,285,168.47291666666666,148.86887078494792,13.943552269530743,2020-10-12
286,286,167.27569444444447,133.28612737089298,43.821804550408295,2020-10-13
287,287,160.10910547785548,125.11414954403236,34.070009349352105,2020-10-14
288,288,151.85411949161949,80.78367255574287,67.1333253699503,2020-10-15
289,289,159.22760416666665,136.37569613546174,21.644870255196807,2020-10-16
290,290,151.5106782106782,120.55891025207433,38.61345190565054,2020-10-17
291,291,143.3328373015873,104.86389107853951,42.349570988496644,2020-10-18
292,292,130.33598554223553,91.04444405420966,45.998632653044695,2020-10-19
293,293,127.31289405039404,75.79000615270147,36.99532861141699,2020-10-20
294,294,102.06696428571429,49.84835999503969,37.45370604142966,2020-10-21
295,295,145.44712301587302,94.37785667807674,54.8076916468465,2020-10-22
296,296,136.35601706213407,83.24936512862875,53.6016014212989,2020-10-23
297,297,140.54346891534394,76.29363686805092,59.77160212654581,2020-10-24
298,298,129.00919497169497,95.9275195464258,26.332698490551696,2020-10-25
299,299,129.19930737665112,82.3276141979597,56.07619562134633,2020-10-26
300,300,130.7239087301587,95.29754781676657,47.15421622516833,2020-10-27
301,301,124.77857142857144,88.77699685315663,44.21294869031839,2020-10-28
302,302,107.29771825396826,80.93372207219863,32.355074887119095,2020-10-29
303,303,112.14503968253969,70.23853792594817,41.5711660124095,2020-10-30
304,304,115.96516261516261,56.62808967074592,38.67477802158959,2020-10-31
305,305,108.73482142857142,51.89940996066783,38.479651431408016,2020-11-01
306,306,109.51700937950939,61.16776382174193,33.98153212785627,2020-11-02
307,307,105.37271825396824,38.81913777112429,39.91725512952143,2020-11-03
308,308,122.37226384726385,63.620524601359044,40.95666379689113,2020-11-04
309,309,117.83271312021313,62.544727888533046,41.65543554971611,2020-11-05
310,310,114.35357142857141,56.62115578865579,40.37979590019084,2020-11-06
311,311,102.80396825396825,61.79227778414946,34.441882566873,2020-11-07
312,312,98.15853174603174,45.39744272239551,30.463588768354487,2020-11-08
313,313,110.19095643939394,63.211548208735714,41.19105107089047,2020-11-09
314,314,80.11835317460317,59.664847115667975,28.250132843214015,2020-11-10
315,315,89.33680555555556,41.09164213203012,29.58718537157422,2020-11-11
316,316,90.42142857142858,42.95861682549472,31.262912869336226,2020-11-12
317,317,105.84652777777778,55.60510262016392,29.747577636304676,2020-11-13
318,318,97.91319444444444,40.67067253926629,34.241234999140985,2020-11-14
319,319,96.62259684759684,37.49810655783565,34.37181442369235,2020-11-15
320,320,93.72129398379398,60.1280941570962,23.577748572901264,2020-11-16
321,321,91.30297272172272,58.40338526208092,32.98272043471737,2020-11-17
322,322,92.96740196078431,73.05211117110015,25.263992118384643,2020-11-18
323,323,93.13015873015874,46.78965212626646,35.396025530506414,2020-11-19
324,324,87.92457195582196,51.75573739632498,32.206062808967836,2020-11-20
325,325,90.29930555555555,53.09210959383753,27.032209443254004,2020-11-21
326,326,92.5906746031746,41.44233681827431,32.36775698170073,2020-11-22
327,327,87.41825396825398,46.05428335553336,35.925038220522566,2020-11-23
328,328,83.75467171717172,42.6983191625856,37.51735517190589,2020-11-24
329,329,80.57053571428571,40.19203948201621,35.805366747326445,2020-11-25
330,330,90.43158161283161,73.5440149607337,12.015760027236228,2020-11-26
331,331,90.45833333333333,50.1251743048618,34.163144610200774,2020-11-27
332,332,85.8075066137566,48.62713624338624,26.91209824759289,2020-11-28
333,333,88.86894216894218,48.722868104118106,31.539910288759568,2020-11-29
334,334,88.42681346431345,66.16576645576644,22.482117887904916,2020-11-30
335,335,58.06386599511599,32.53577256077256,24.321350298722876,2020-12-01
336,336,65.47321428571429,38.0646642378303,25.872531380203966,2020-12-02
337,337,83.84136904761905,60.58110611610611,23.918600661661777,2020-12-03
338,338,80.92763555888556,47.04247537878788,32.65827653251311,2020-12-04
339,339,76.48234126984127,58.234117063492064,29.185249663160636,2020-12-05
340,340,79.61795634920635,53.49815914987789,27.185252089409055,2020-12-06
341,341,80.21282536907538,51.71132747460872,24.07553997791199,2020-12-07
342,342,83.3514880952381,36.38018493659119,30.98310259961334,2020-12-08
343,343,85.08585511710511,52.679233180014435,30.54888239466508,2020-12-09
344,344,82.751843989344,43.652781697469194,37.16620923469843,2020-12-10
345,345,82.67569444444443,49.91094478438228,34.882733437613346,2020-12-11
346,346,80.12886904761903,49.92115842490843,26.609439046156943,2020-12-12
347,347,73.27480158730158,58.86199708277833,18.333888713309733,2020-12-13
348,348,77.94869245337995,67.52235753829504,8.20377603092584,2020-12-14
349,349,75.54434523809525,42.04234385406261,27.09534369878016,2020-12-15
350,350,63.776785714285715,31.701230644355643,24.55609761748345,2020-12-16
351,351,78.3219246031746,46.41105725623582,26.814498842236745,2020-12-17
352,352,47.36931401931402,35.264048815767566,15.60196676405006,2020-12-18
353,353,69.16225788100789,34.48526683386059,30.785636797702416,2020-12-19
354,354,76.5214918946302,36.529181811465726,33.286939172355495,2020-12-20
355,355,71.04593253968254,34.10077068618001,21.664743774750956,2020-12-21
356,356,67.08984375,46.749400586485024,13.810589284802198,2020-12-22
357,357,76.92597686815337,42.61319390287921,30.005148598169846,2020-12-23
358,358,76.56761918636919,43.85779923201798,34.42244189569763,2020-12-24
359,359,79.02346603049727,42.51021051286676,33.43938168274479,2020-12-25
360,360,79.7297619047619,44.818218812437564,27.14022253937664,2020-12-26
361,361,60.95748418248418,37.417459866522364,27.707753238353767,2020-12-27
362,362,72.03482142857142,43.39934893231768,22.198375613488256,2020-12-28
363,363,74.00496031746032,52.72693629287379,22.426862526995777,2020-12-29
364,364,68.91875,53.28124361749362,14.121204821042436,2020-12-30
365,365,71.83125,56.8796745442058,21.80646682453233,2020-12-31
