Provincia,Codice Istat,Comune,Zona
LC,97001,Abbadia Lariana,C1
BG,16001,Adrara San Martino,C1
BG,16002,Adrara San Rocco,C1
BS,17003,Agnosine,C1
VA,12001,Agra,C1
BG,16248,Algua,C1
BG,16005,Alme',C1
BG,16006,Almenno San Bartolomeo,C1
BG,16007,Almenno San Salvatore,C1
BS,17005,Anfo,C1
VA,12003,Angera,C1
BS,17006,Angolo Terme,C1
VA,12004,Arcisate,C1
BG,16012,Ardesio,C1
CO,13011,Argegno,C1
BS,17007,Artogne,C1
CO,13013,Asso,C1
BG,16014,Averara,C1
BG,16015,Aviatico,C1
VA,12007,Azzio,C1
BG,16017,Azzone,C1
PV,18007,Bagnaria,C1
BS,17010,Bagolino,C1
LC,97004,Ballabio,C1
VA,12009,Bardello,C1
BS,17012,Barghe,C1
CO,13015,Barni,C1
LC,97007,Barzio,C1
VA,12010,Bedero Valcuvia,C1
BG,16022,Bedulita,C1
CO,13019,Bellagio,C1
LC,97008,Bellano,C1
CO,13021,Bene Lario,C1
BG,16023,Berbenno,C1
BS,17016,Berzo Demo,C1
BS,17017,Berzo Inferiore,C1
BG,16025,Berzo San Fermo,C1
VA,12011,Besano,C1
VA,12013,Besozzo,C1
VA,12014,Biandronno,C1
BG,16026,Bianzano,C1
BS,17018,Bienno,C1
BS,17019,Bione,C1
VA,12015,Bisuschio,C1
BG,16027,Blello,C1
CO,13025,Blessagno,C1
CO,13026,Blevio,C1
BG,16032,Borgo di Terzo,C1
PV,18016,Borgo Priolo,C1
PV,18017,Borgoratto Mormorolo,C1
BS,17022,Borno,C1
BG,16033,Bossico,C1
BS,17024,Bovegno,C1
BG,16035,Bracca,C1
PV,18021,Brallo di Pregola,C1
BG,16036,Branzi,C1
BS,17027,Braone,C1
VA,12017,Brebbia,C1
VA,12018,Bregano,C1
BG,16039,Brembilla,C1
BS,17028,Breno,C1
VA,12019,Brenta,C1
VA,12020,Brezzo di Bedero,C1
CO,13030,Brienno,C1
VA,12021,Brinzio,C1
BS,17030,Brione,C1
VA,12022,Brissago-Valtravaglia,C1
BG,16041,Brumano,C1
CO,13032,Brunate,C1
VA,12024,Brusimpiano,C1
VA,12027,Cadegliano-Viconago,C1
VA,12028,Cadrezzate,C1
CO,13037,Caglio,C1
BS,17031,Caino,C1
BG,16048,Camerata Cornello,C1
CO,13040,Campione d'Italia,C1
PV,18028,Canevino,C1
CO,13042,Canzo,C1
BG,16026,Bianzano,C1
BS,17018,Bienno,C1
BS,17019,Bione,C1
VA,12015,Bisuschio,C1
BG,16027,Blello,C1
CO,13025,Blessagno,C1
CO,13026,Blevio,C1
BG,16032,Borgo di Terzo,C1
PV,18016,Borgo Priolo,C1
PV,18017,Borgoratto Mormorolo,C1
BS,17022,Borno,C1
BG,16033,Bossico,C1
BS,17024,Bovegno,C1
BG,16035,Bracca,C1
PV,18021,Brallo di Pregola,C1
BG,16036,Branzi,C1
BS,17027,Braone,C1
VA,12017,Brebbia,C1
VA,12018,Bregano,C1
BG,16039,Brembilla,C1
BS,17028,Breno,C1
VA,12019,Brenta,C1
VA,12020,Brezzo di Bedero,C1
CO,13030,Brienno,C1
VA,12021,Brinzio,C1
BS,17030,Brione,C1
VA,12022,Brissago-Valtravaglia,C1
BG,16041,Brumano,C1
CO,13032,Brunate,C1
VA,12024,Brusimpiano,C1
VA,12027,Cadegliano-Viconago,C1
VA,12028,Cadrezzate,C1
CO,13037,Caglio,C1
BS,17031,Caino,C1
BG,16048,Camerata Cornello,C1
CO,13040,Campione d'Italia,C1
PV,18028,Canevino,C1
CO,13042,Canzo,C1
BG,16050,Capizzone,C1
BS,17035,Capo di Ponte,C1
BS,17036,Capovalle,C1
BS,17038,Capriolo,C1
CO,13044,Carate Urio,C1
VA,12031,Caravate,C1
LC,97014,Carenno,C1
CO,13047,Carlazzo,C1
BG,16055,Carobbio degli Angeli,C1
BG,16056,Carona,C1
VA,12036,Casale Litta,C1
VA,12037,Casalzuigno,C1
LC,97015,Casargo,C1
CO,13050,Casasco d'Intelvi,C1
BG,16058,Casazza,C1
CO,13052,Caslino d'Erba,C1
BG,16060,Casnigo,C1
VA,12041,Cassano Valcuvia,C1
BG,16061,Cassiglio,C1
LC,97018,Cassina Valsassina,C1
VA,12043,Castello Cabiaglio,C1
CO,13058,Castelmarte,C1
VA,12045,Castelveccana,C1
CO,13060,Castiglione d'Intelvi,C1
BG,16064,Castione della Presolana,C1
BS,17044,Casto,C1
BG,16065,Castro,C1
CO,13062,Cavargna,C1
BG,16067,Cazzano Sant'Andrea,C1
PV,18042,Cecima,C1
BS,17047,Cedegolo,C1
BG,16070,Cene,C1
CO,13063,Cerano d'Intelvi,C1
BG,16071,Cerete,C1
CO,13065,Cernobbio,C1
BS,17049,Cerveno,C1
BS,17050,Ceto,C1
BS,17051,Cevo,C1
BS,17054,Cimbergo,C1
VA,12051,Cittiglio,C1
CO,13070,Civenna,C1
BS,17055,Cividate Camuno,C1
CO,13071,Claino con Osteno,C1
VA,12052,Clivio,C1
BG,16077,Clusone,C1
VA,12053,Cocquio-Trevisago,C1
BG,16078,Colere,C1
LC,97023,Colico,C1
BS,17058,Collio,C1
CO,13074,Colonno,C1
BG,16080,Colzate,C1
VA,12054,Comabbio,C1
CO,13076,Consiglio di Rumo,C1
BG,16082,Corna Imagna,C1
BG,16249,Cornalba,C1
CO,13077,Corrido,C1
BS,17062,Corte Franca,C1
LC,97025,Cortenova,C1
BG,16247,Costa Serina,C1
BG,16085,Costa Valle Imagna,C1
BG,16086,Costa Volpino,C1
LC,97027,Crandola Valsassina,C1
BG,16088,Credaro,C1
VA,12056,Cremenaga,C1
LC,97029,Cremeno,C1
CO,13083,Cremia,C1
VA,12058,Cuasso al Monte,C1
VA,12059,Cugliate-Fabiasco,C1
VA,12060,Cunardo,C1
VA,12061,Curiglia con Monteviasco,C1
CO,13085,Cusino,C1
BG,16090,Cusio,C1
VA,12062,Cuveglio,C1
VA,12063,Cuvio,C1
BS,17065,Darfo Boario Terme,C1
LC,97030,Dervio,C1
CO,13087,Dizzasco,C1
CO,13089,Domaso,C1
CO,13090,Dongo,C1
LC,97032,Dorio,C1
BG,16092,Dossena,C1
CO,13092,Dosso del Liro,C1
VA,12065,Dumenza,C1
VA,12066,Duno,C1
BG,16093,Endine Gaiano,C1
BG,16094,Entratico,C1
LC,97034,Erve,C1
BS,17070,Esine,C1
LC,97035,Esino Lario,C1
CO,13098,Faggeto Lario,C1
VA,12069,Ferrera di Varese,C1
BG,16099,Fino del Monte,C1
BG,16100,Fiorano al Serio,C1
BG,16102,Fonteno,C1
BG,16103,Foppolo,C1
BG,16104,Foresto Sparso,C1
PV,18064,Fortunago,C1
BG,16106,Fuipiano Valle Imagna,C1
BG,16107,Gandellino,C1
BG,16108,Gandino,C1
BG,16109,Gandosso,C1
BS,17074,Gardone Riviera,C1
BS,17076,Gargnano,C1
CO,13106,Garzeno,C1
BG,16110,Gaverina Terme,C1
BG,16111,Gazzaniga,C1
VA,12074,Gemonio,C1
CO,13107,Gera Lario,C1
CO,13108,Germasino,C1
VA,12076,Germignaga,C1
BG,16112,Gerosa,C1
BS,17079,Gianico,C1
PV,18073,Godiasco,C1
PV,18074,Golferenzo,C1
BG,16116,Gorno,C1
CO,13111,Grandola ed Uniti,C1
VA,12081,Grantola,C1
CO,13112,Gravedona,C1
CO,13113,Griante,C1
BG,16118,Gromo,C1
BG,16119,Grone,C1
BS,17082,Idro,C1
VA,12082,Inarzo,C1
VA,12083,Induno Olona,C1
LC,97040,Introbio,C1
LC,97041,Introzzo,C1
BS,17084,Irma,C1
BS,17085,Iseo,C1
BG,16121,Isola di Fondra,C1
VA,12084,Ispra,C1
CO,13119,Laglio,C1
CO,13120,Laino,C1
CO,13122,Lanzo d'Intelvi,C1
CO,13123,Lasnigo,C1
VA,12086,Lavena Ponte Tresa,C1
VA,12087,Laveno-Mombello,C1
BS,17087,Lavenone,C1
BG,16124,Leffe,C1
VA,12088,Leggiuno,C1
BG,16125,Lenna,C1
CO,13125,Lenno,C1
CO,13126,Lezzeno,C1
LC,97043,Lierna,C1
BS,17089,Limone sul Garda,C1
CO,13130,Livo,C1
BG,16127,Locatello,C1
BS,17090,Lodrino,C1
CO,13134,Longone al Segrino,C1
BS,17094,Losine,C1
BG,16128,Lovere,C1
BS,17095,Lozio,C1
VA,12092,Luino,C1
BG,16130,Luzzana,C1
VA,12094,Maccagno,C1
BS,17098,Magasa,C1
CO,13139,Magreglio,C1
BS,17100,Malegno,C1
VA,12095,Malgesso,C1
LC,97046,Mandello del Lario,C1
BS,17102,Manerba del Garda,C1
VA,12097,Marchirolo,C1
LC,97047,Margno,C1
BS,17105,Marmentino,C1
BS,17106,Marone,C1
VA,12099,Marzio,C1
VA,12100,Masciago Primo,C1
CO,13145,Menaggio,C1
PV,18089,Menconico,C1
VA,12101,Mercallo,C1
VA,12102,Mesenzana,C1
CO,13148,Mezzegra,C1
BG,16134,Mezzoldo,C1
LC,97050,Moggio,C1
BG,16136,Moio de' Calvi,C1
CO,13152,Moltrasio,C1
BG,16137,Monasterolo del Castello,C1
BS,17109,Moniga del Garda,C1
PV,18094,Montalto Pavese,C1
BS,17111,Monte Isola,C1
PV,18096,Montecalvo Versiggia,C1
VA,12103,Montegrino Valtravaglia,C1
CO,13155,Montemezzo,C1
PV,18098,Montesegale,C1
BS,17112,Monticelli Brusati,C1
VA,12104,Monvalle,C1
LC,97055,Morterone,C1
BS,17115,Mura,C1
CO,13160,Musso,C1
CO,13161,Nesso,C1
BS,17118,Niardo,C1
BS,17121,Odolo,C1
LC,97060,Oliveto Lario,C1
BG,16145,Olmo al Brembo,C1
BG,16146,Oltre il Colle,C1
BG,16147,Oltressenda Alta,C1
BS,17123,Ome,C1
BG,16148,Oneta,C1
BS,17124,Ono San Pietro,C1
BG,16149,Onore,C1
VA,12110,Orino,C1
BG,16151,Ornica,C1
VA,12111,Osmate,C1
BS,17128,Ossimo,C1
CO,13172,Ossuccio,C1
BS,17129,Padenghe sul Garda,C1
BS,17130,Paderno Franciacorta,C1
LC,97063,Pagnona,C1
BS,17134,Paratico,C1
BG,16158,Parre,C1
BG,16159,Parzanica,C1
BS,17135,Paspardo,C1
LC,97065,Pasturo,C1
CO,13178,Peglio,C1
BG,16161,Peia,C1
CO,13179,Pellio Intelvi,C1
LC,97067,Perledo,C1
BS,17139,Pertica Alta,C1
BS,17140,Pertica Bassa,C1
BS,17141,Pezzaze,C1
BS,17142,Pian Camuno,C1
BS,17206,Piancogno,C1
CO,13183,Pianello del Lario,C1
BG,16162,Pianico,C1
BG,16163,Piario,C1
BG,16164,Piazza Brembana,C1
BG,16165,Piazzatorre,C1
BG,16166,Piazzolo,C1
CO,13184,Pigra,C1
VA,12112,Pino sulla Sponda del Lago Maggiore,C1
BS,17143,Pisogne,C1
CO,13185,Plesio,C1
CO,13186,Pognana Lario,C1
BS,17144,Polaveno,C1
CO,13187,Ponna,C1
CO,13188,Ponte Lambro,C1
PV,18117,Ponte Nizza,C1
BG,16168,Ponte Nossa,C1
CO,13189,Porlezza,C1
VA,12113,Porto Ceresio,C1
VA,12114,Porto Valtravaglia,C1
BG,16174,Predore,C1
LC,97069,Premana,C1
BG,16175,Premolo,C1
BS,17153,Preseglie,C1
BS,17154,Prestine,C1
LC,97070,Primaluna,C1
CO,13192,Proserpio,C1
BS,17156,Provaglio d'Iseo,C1
BS,17157,Provaglio Val Sabbia,C1
CO,13194,Ramponio Verna,C1
VA,12115,Rancio Valcuvia,C1
VA,12116,Ranco,C1
BG,16179,Ranzanico,C1
CO,13195,Rezzago,C1
BG,16180,Riva di Solto,C1
PV,18125,Rocca de' Giorgi,C1
PV,18126,Rocca Susella,C1
BS,17163,Rodengo Saiano,C1
BG,16182,Rogno,C1
PV,18128,Romagnese,C1
BG,16184,Roncobello,C1
BG,16185,Roncola,C1
BG,16186,Rota d'Imagna,C1
BG,16187,Rovetta,C1
PV,18132,Ruino,C1
BS,17168,Sabbio Chiese,C1
BS,17170,Salò,C1
CO,13203,Sala Comacina,C1
BS,17169,Sale Marasino,C1
VA,12117,Saltrio,C1
CO,13204,San Bartolomeo Val Cavargna,C1
CO,13205,San Fedele Intelvi,C1
BS,17171,San Felice del Benaco,C1
BG,16188,San Giovanni Bianco,C1
CO,13207,San Nazzaro Val Cavargna,C1
BG,16190,San Pellegrino Terme,C1
CO,13248,San Siro,C1
VA,12141,Sangiano,C1
BG,16191,Santa Brigida,C1
PV,18142,Santa Margherita di Staffora,C1
PV,18143,Santa Maria della Versa,C1
BG,16192,Sant'Omobono Terme,C1
BG,16193,Sarnico,C1
CO,13211,Schignano,C1
BG,16195,Schilpario,C1
BG,16196,Sedrina,C1
BS,17176,Sellero,C1
BG,16197,Selvino,C1
BG,16199,Serina,C1
BS,17178,Serle,C1
BG,16200,Solto Collina,C1
BG,16201,Songavazzo,C1
CO,13216,Sorico,C1
CO,13217,Sormano,C1
BG,16204,Sovere,C1
BG,16205,Spinone al Lago,C1
CO,13218,Stazzona,C1
BG,16208,Strozza,C1
LC,97077,Sueglio,C1
BS,17182,Sulzano,C1
LC,97079,Taceno,C1
VA,12125,Taino,C1
BG,16210,Taleggio,C1
BG,16211,Tavernola Bergamasca,C1
BS,17183,Tavernole sul Mella,C1
VA,12126,Ternate,C1
BS,17185,Tignale,C1
CO,13223,Torno,C1
LC,97080,Torre de' Busi,C1
BS,17187,Toscolano-Maderno,C1
VA,12128,Travedona-Monate,C1
LC,97081,Tremenico,C1
CO,13225,Tremezzo,C1
BS,17189,Tremosine,C1
BS,17191,Treviso Bresciano,C1
CO,13226,Trezzone,C1
VA,12129,Tronzano Lago Maggiore,C1
BG,16221,Ubiale Clanezzo,C1
PV,18166,Val di Nizza,C1
CO,13233,Val Rezzo,C1
BG,16223,Valbondione,C1
CO,13229,Valbrona,C1
VA,12131,Valganna,C1
BG,16225,Valgoglio,C1
BG,16226,Valleve,C1
BS,17193,Vallio Terme,C1
BG,16227,Valnegra,C1
BG,16228,Valsecca,C1
CO,13234,Valsolda,C1
BG,16229,Valtorta,C1
PV,18170,Valverde,C1
BS,17194,Valvestino,C1
VA,12132,Varano Borghi,C1
LC,97084,Varenna,C1
PV,18171,Varzi,C1
VA,12135,Veddasca,C1
BG,16230,Vedeseta,C1
CO,13236,Veleso,C1
LC,97085,Vendrogno,C1
CO,13239,Vercana,C1
BG,16234,Vertova,C1
BS,17197,Vestone,C1
LC,97089,Vestreno,C1
BG,16235,Viadanica,C1
BG,16236,Vigano San Martino,C1
VA,12139,Viggiu',C1
BG,16237,Vigolo,C1
BG,16239,Villa d'Alme',C1
BG,16241,Villa d'Ogna,C1
BG,16242,Villongo,C1
BG,16243,Vilminore di Scalve,C1
BS,17204,Vobarno,C1
PV,18183,Volpara,C1
BG,16244,Zandobbio,C1
PV,18184,Zavattarello,C1
CO,13246,Zelbio,C1
BG,16246,Zogno,C1
BS,17205,Zone,C1
SO,14001,Albaredo per San Marco,C2
SO,14002,Albosaggia,C2
SO,14003,Andalo Valtellino,C2
SO,14004,Aprica,C2
SO,14005,Ardenno,C2
SO,14006,Bema,C2
SO,14007,Berbenno di Valtellina,C2
SO,14008,Bianzone,C2
SO,14009,Bormio,C2
SO,14010,Buglio in Monte,C2
SO,14011,Caiolo,C2
SO,14012,Campodolcino,C2
SO,14013,Caspoggio,C2
SO,14014,Castello dell'Acqua,C2
SO,14015,Castione Andevenno,C2
SO,14016,Cedrasco,C2
SO,14017,Cercino,C2
SO,14018,Chiavenna,C2
SO,14019,Chiesa in Valmalenco,C2
SO,14020,Chiuro,C2
SO,14021,Cino,C2
SO,14022,Civo,C2
SO,14023,Colorina,C2
BS,17063,Corteno Golgi,C2
SO,14024,Cosio Valtellino,C2
SO,14025,Dazio,C2
SO,14026,Delebio,C2
SO,14027,Dubino,C2
BS,17068,Edolo,C2
SO,14028,Faedo Valtellino,C2
SO,14029,Forcola,C2
SO,14030,Fusine,C2
SO,14031,Gerola Alta,C2
SO,14032,Gordona,C2
SO,14033,Grosio,C2
SO,14034,Grosotto,C2
BS,17083,Incudine,C2
SO,14036,Lanzada,C2
SO,14037,Livigno,C2
SO,14038,Lovero,C2
SO,14035,Madesimo,C2
BS,17101,Malonno,C2
SO,14039,Mantello,C2
SO,14040,Mazzo di Valtellina,C2
SO,14041,Mello,C2
SO,14042,Menarola,C2
SO,14043,Mese,C2
BS,17110,Monno,C2
SO,14044,Montagna in Valtellina,C2
SO,14045,Morbegno,C2
SO,14046,Novate Mezzola,C2
BS,17131,Paisco Loveno,C2
SO,14047,Pedesina,C2
SO,14048,Piantedo,C2
SO,14049,Piateda,C2
SO,14050,Piuro,C2
SO,14051,Poggiridenti,C2
BS,17148,Ponte di Legno,C2
SO,14052,Ponte in Valtellina,C2
SO,14053,Postalesio,C2
SO,14054,Prata Camportaccio,C2
SO,14055,Rasura,C2
SO,14056,Rogolo,C2
SO,14057,Samolaco,C2
SO,14058,San Giacomo Filippo,C2
BS,17175,Saviore dell'Adamello,C2
SO,14059,Sernio,C2
SO,14060,Sondalo,C2
SO,14061,Sondrio,C2
BS,17181,Sonico,C2
SO,14062,Spriana,C2
SO,14063,Talamona,C2
SO,14064,Tartano,C2
SO,14065,Teglio,C2
BS,17184,Temu',C2
SO,14066,Tirano,C2
SO,14067,Torre di Santa Maria,C2
SO,14068,Tovo di Sant'Agata,C2
SO,14069,Traona,C2
SO,14070,Tresivio,C2
SO,14074,Val Masino,C2
SO,14071,Valdidentro,C2
SO,14072,Valdisotto,C2
SO,14073,Valfurva,C2
SO,14075,Verceia,C2
SO,14076,Vervio,C2
BS,17198,Vezza d'Oglio,C2
SO,14077,Villa di Chiavenna,C2
SO,14078,Villa di Tirano,C2
BS,17202,Vione,C2
