Provincia,Codice Istat,Comune,Zona,Residenti 2008,Superficie (ha)
BG,16009,AMBIVERE,A,2341,327
BG,16013,ARZAGO D'ADDA,A,2836,944
BG,16018,BAGNATICA,A,4119,639
BG,16020,BARIANO,A,4396,714
BG,16021,BARZANO',A,5178,356
BG,16028,BOLGARE,A,5538,859
BG,16030,BONATE SOPRA,A,8637,605
BG,16031,BONATE SOTTO,A,6538,634
BG,16034,BOTTANUCO,A,5243,581
BG,16038,BREMBATE DI SOPRA,A,7768,439
BG,16040,BRIGNANO GERA D'ADDA,A,5798,1201
BG,16043,CALCINATE,A,5791,1517
BG,16044,CALCIO,A,5329,1574
BG,16046,CALUSCO D'ADDA,A,8320,853
BG,16047,CALVENZANO,A,3930,660
BG,16051,CAPRIATE SAN GERVASO,A,7631,599
BG,16052,CAPRINO BERGAMASCO,A,3121,873
BG,16053,CARAVAGGIO,A,16112,3342
BG,16057,CARVICO,A,4633,452
BG,16059,CASIRATE D'ADDA,A,3920,1038
BG,16063,CASTEL ROZZONE,A,2879,169
BG,16062,CASTELLI CALEPIO,A,9928,985
BG,16066,CAVERNAGO,A,2340,775
BG,16068,CENATE SOPRA,A,2518,699
BG,16069,CENATE SOTTO,A,3416,464
BG,16072,CHIGNOLO D'ISOLA,A,3159,543
BG,16073,CHIUDUNO,A,5775,681
BG,16074,CISANO BERGAMASCO,A,6303,763
BG,16076,CIVIDATE AL PIANO,A,5188,995
BG,16079,COLOGNO AL SERIO,A,10649,1801
BG,16081,COMUN NUOVO,A,4019,672
BG,16083,CORTENUOVA,A,1928,722
BG,16084,COSTA DI MEZZATE,A,3326,525
BG,16247,COSTA MASNAGA,A,4770,555
BG,16087,COVO,A,4092,1294
BG,16096,FARA GERA D'ADDA,A,7933,1087
BG,16097,FARA OLIVANA CON SOLA,A,1326,515
BG,16105,FORNOVO SAN GIOVANNI,A,3239,692
BG,16113,GHISALBA,A,5828,1058
BG,16114,GORLAGO,A,4993,573
BG,16120,GRUMELLO DEL MONTE,A,7260,1010
BG,16122,ISSO,A,680,508
BG,16126,LEVATE,A,3805,545
BG,16129,LURANO,A,2482,405
BG,16131,MADONE,A,3999,305
BG,16132,MAPELLO,A,6277,868
BG,16133,MARTINENGO,A,10078,2228
BG,16250,MEDOLAGO,A,2347,388
BG,16135,MISANO DI GERA D'ADDA,A,3024,613
BG,16140,MORENGO,A,2635,1002
BG,16141,MORNICO AL SERIO,A,2833,713
BG,16142,MOZZANICA,A,4601,945
BG,16154,PAGAZZANO,A,2066,516
BG,16155,PALADINA,A,3955,197
BG,16156,PALAZZAGO,A,4097,1403
BG,16157,PALOSCO,A,5758,1072
BG,16167,POGNANO,A,1552,326
BG,16171,PONTIDA,A,3240,1050
BG,16176,PRESEZZO,A,4878,229
BG,16183,ROMANO DI LOMBARDIA,A,18622,1900
BG,16251,SOLZA,A,1957,120
BG,16202,SORISOLE,A,9050,1240
BG,16203,SOTTO IL MONTE GIOVANNI XXIII,A,4118,503
BG,16206,SPIRANO,A,5595,935
BG,16209,SUISIO,A,3866,472
BG,16212,TELGATE,A,4849,836
BG,16213,TERNO D'ISOLA,A,7489,411
BG,16218,TRESCORE BALNEARIO,A,9486,1346
BG,16222,URGNANO,A,9391,1461
BG,16224,VALBREMBO,A,3661,363
BG,16233,VERDELLO,A,7777,738
BG,16238,VILLA D'ADDA,A,4714,590
BG,16245,ZANICA,A,7961,1509
BG,16004,ALBINO,A,18098,3165
BG,16173,PRADALUNGA,A,4555,831
BG,16003,ALBANO SANT'ALESSANDRO,AGG BG,8001,535
BG,16008,ALZANO LOMBARDO,AGG BG,13558,1361
BG,16011,ARCENE,AGG BG,4745,442
BG,16016,AZZANO SAN PAOLO,AGG BG,7644,425
BG,16024,BERGAMO,AGG BG,118019,4034
BG,16029,BOLTIERE,AGG BG,5669,414
BG,16037,BREMBATE,AGG BG,8102,562
BG,16042,BRUSAPORTO,AGG BG,5250,504
BG,16049,CANONICA D'ADDA,AGG BG,4421,312
BG,16075,CISERANO,AGG BG,5698,530
BG,16089,CURNO,AGG BG,7735,459
BG,16091,DALMINE,AGG BG,23132,1196
BG,16098,FILAGO,AGG BG,3208,544
BG,16115,GORLE,AGG BG,6311,245
BG,16117,GRASSOBBIO,AGG BG,6252,854
BG,16123,LALLIO,AGG BG,4104,214
BG,16139,MONTELLO,AGG BG,3173,177
BG,16143,MOZZO,AGG BG,7429,372
BG,16144,NEMBRO,AGG BG,11608,1516
BG,16150,ORIO AL SERIO,AGG BG,1684,308
BG,16152,OSIO SOPRA,AGG BG,5060,514
BG,16153,OSIO SOTTO,AGG BG,11639,764
BG,16160,PEDRENGO,AGG BG,5622,360
BG,16170,PONTE SAN PIETRO,AGG BG,11352,453
BG,16169,PONTERANICA,AGG BG,6806,843
BG,16172,PONTIROLO NUOVO,AGG BG,4983,1108
BG,16178,RANICA,AGG BG,6016,406
BG,16189,SAN PAOLO D'ARGON,AGG BG,5361,526
BG,16194,SCANZOROSCIATE,AGG BG,9767,1069
BG,16198,SERIATE,AGG BG,23877,1266
BG,16207,STEZZANO,AGG BG,12613,939
BG,16214,TORRE BOLDONE,AGG BG,8309,350
BG,16216,TORRE DE' ROVERI,AGG BG,2320,272
BG,16219,TREVIGLIO,AGG BG,28769,3214
BG,16220,TREVIOLO,AGG BG,10173,866
BG,16232,VERDELLINO,AGG BG,7664,383
BG,16240,VILLA DI SERIO,AGG BG,6555,467
BG,16010,ANTEGNATE,B,3085,964
BG,16019,BARBATA,B,726,807
BG,16101,FONTANELLA,B,4240,1793
BG,16177,PUMENENGO,B,1662,1012
BG,16217,TORRE PALLAVICINA,B,1130,1025
BG,16001,ADRARA SAN MARTINO,C,2150,1259
BG,16002,ADRARA SAN ROCCO,C,865,934
BG,16248,ALGUA,C,722,832
BG,16005,ALME',D,5729,198
BG,16012,ARDESIO,C,3679,5466
BG,16014,AVERARA,C,196,1064
BG,16015,AVIATICO,C,509,853
BG,16017,AZZONE,C,441,1733
BG,16025,BERZO SAN FERMO,C,1303,587
BG,16026,BIANZANO,C,580,667
BG,16027,BLELLO,C,90,224
BG,16032,BORGO DI TERZO,C,1130,182
BG,16033,BOSSICO,C,982,641
BG,16036,BRANZI,C,731,2616
BG,16041,BRUMANO,C,96,822
BG,16055,CAROBBIO DEGLI ANGELI,C,4610,681
BG,16056,CARONA,C,358,4420
BG,16058,CASAZZA,C,4019,712
BG,16061,CASSIGLIO,C,120,1364
BG,16064,CASTIONE DELLA PRESOLANA,C,3482,4253
BG,16065,CASTRO,C,1418,258
BG,16071,CERETE,C,1642,1427
BG,16078,COLERE,C,1145,1862
BG,16249,CORNALBA,C,300,940
BG,16085,COSTA VALLE IMAGNA,C,616,418
BG,16088,CREDARO,C,3356,347
BG,16090,CUSIO,C,274,923
BG,16092,DOSSENA,C,969,1907
BG,16093,ENDINE GAIANO,C,3518,2104
BG,16094,ENTRATICO,C,1864,419
BG,16099,FINO DEL MONTE,C,1159,435
BG,16102,FONTENO,C,698,1093
BG,16103,FOPPOLO,C,210,1645
BG,16104,FORESTO SPARSO,C,3135,789
BG,16106,FUIPIANO VALLE IMAGNA,C,223,430
BG,16107,GANDELLINO,C,1071,2543
BG,16109,GANDOSSO,C,1513,311
BG,16110,GAVERINA TERME,C,932,521
BG,16112,GEROSA,C,366,1008
BG,16116,GORNO,C,1683,1016
BG,16118,GROMO,C,1254,1987
BG,16119,GRONE,C,933,779
BG,16121,ISOLA DI FONDRA,C,189,1265
BG,16128,LOVERE,C,5472,688
BG,16130,LUZZANA,C,850,341
BG,16134,MEZZOLDO,C,197,1856
BG,16136,MOIO DE' CALVI,C,205,653
BG,16137,MONASTEROLO DEL CASTELLO,C,1099,854
BG,16145,OLMO AL BREMBO,C,521,705
BG,16146,OLTRE IL COLLE,C,1071,3280
BG,16147,OLTRESSENDA ALTA,C,188,1672
BG,16148,ONETA,C,666,1825
BG,16149,ONORE,C,813,1176
BG,16151,ORNICA,C,178,1466
BG,16158,PARRE,C,2866,2234
BG,16159,PARZANICA,C,368,1037
BG,16161,PEIA,C,1838,446
BG,16162,PIANICO,C,1489,271
BG,16165,PIAZZATORRE,C,446,2435
BG,16166,PIAZZOLO,C,88,480
BG,16174,PREDORE,C,1886,1208
BG,16175,PREMOLO,C,1152,1788
BG,16179,RANZANICO,C,1297,726
BG,16180,RIVA DI SOLTO,C,868,852
BG,16184,RONCOBELLO,C,440,2531
BG,16185,RONCOLA,C,760,502
BG,16187,ROVETTA,C,3889,2463
BG,16191,SANTA BRIGIDA,C,594,1467
BG,16193,SARNICO,C,6540,643
BG,16195,SCHILPARIO,C,1271,6403
BG,16197,SELVINO,C,2020,649
BG,16199,SERINA,C,2186,2750
BG,16200,SOLTO COLLINA,C,1695,1187
BG,16201,SONGAVAZZO,C,698,1311
BG,16204,SOVERE,C,5495,1843
BG,16205,SPINONE AL LAGO,C,1039,203
BG,16210,TALEGGIO,C,610,4727
BG,16211,TAVERNOLA BERGAMASCA,C,2165,1298
BG,16223,VALBONDIONE,C,1100,9649
BG,16225,VALGOGLIO,C,611,3192
BG,16226,VALLEVE,C,136,1476
BG,16227,VALNEGRA,C,213,214
BG,16228,VALSECCA,C,420,532
BG,16229,VALTORTA,C,307,3143
BG,16230,VEDESETA,C,220,1927
BG,16235,VIADANICA,C,1130,541
BG,16236,VIGANO SAN MARTINO,C,1234,373
BG,16237,VIGOLO,C,598,1228
BG,16241,VILLA D'OGNA,C,1976,509
BG,16242,VILLONGO,C,7628,593
BG,16243,VILMINORE DI SCALVE,C,1530,4097
BG,16244,ZANDOBBIO,C,2707,652
BG,16006,ALMENNO SAN BARTOLOMEO,C D,5976,1058
BG,16007,ALMENNO SAN SALVATORE,C D,5841,479
BG,16022,BEDULITA,C D,728,422
BG,16023,BERBENNO,C D,2483,618
BG,16035,BRACCA,C D,748,548
BG,16039,BREMBILLA,C D,4178,2122
BG,16048,CAMERATA CORNELLO,C D,624,1252
BG,16050,CAPIZZONE,C D,1310,468
BG,16060,CASNIGO,C D,3311,1340
BG,16067,CAZZANO SANT'ANDREA,C D,1591,242
BG,16070,CENE,C D,4212,862
BG,16077,CLUSONE,C D,8784,2596
BG,16080,COLZATE,C D,1685,639
BG,16082,CORNA IMAGNA,C D,966,440
BG,16086,COSTA VOLPINO,C D,9324,1971
BG,16100,FIORANO AL SERIO,C D,3092,108
BG,16108,GANDINO,C D,5677,2924
BG,16111,GAZZANIGA,C D,5120,1442
BG,16124,LEFFE,C D,4721,665
BG,16125,LENNA,C D,654,1300
BG,16127,LOCATELLO,C D,836,392
BG,16163,PIARIO,C D,1090,153
BG,16164,PIAZZA BREMBANA,C D,1267,699
BG,16168,PONTE NOSSA,C D,1930,587
BG,16182,ROGNO,C D,3947,1589
BG,16186,ROTA D'IMAGNA,C D,902,597
BG,16188,SAN GIOVANNI BIANCO,C D,5130,3149
BG,16190,SAN PELLEGRINO TERME,C D,4965,2290
BG,16192,SANT'OMOBONO IMAGNA,C D,3533,1111
BG,16196,SEDRINA,C D,2535,593
BG,16208,STROZZA,C D,1078,388
BG,16221,UBIALE CLANEZZO,C D,1404,737
BG,16234,VERTOVA,C D,4832,1573
BG,16239,VILLA D'ALME',C D,6848,634
BG,16246,ZOGNO,C D,9080,3515
BS,17002,ADRO,A,7120,1430
BS,17014,BEDIZZOLE,A,11760,2641
BS,17032,CALCINATO,A,12545,3333
BS,17033,CALVAGESE DELLA RIVIERA,A,3453,1177
BS,17040,CASTEGNATO,A,7805,924
BS,17046,CAZZAGO SAN MARTINO,A,11024,2221
BS,17052,CHIARI,A,18597,3799
BS,17056,COCCAGLIO,A,8510,1200
BS,17059,COLOGNE,A,7594,1389
BS,17067,DESENZANO DEL GARDA,A,26912,6071
BS,17069,ERBUSCO,A,8540,1621
BS,17077,GAVARDO,A,11630,2981
BS,17092,LONATO DEL GARDA,A,15624,6818
BS,17107,MAZZANO,A,11486,1564
BS,17116,MUSCOLINE,A,2529,1012
BS,17119,NUVOLENTO,A,4027,744
BS,17120,NUVOLERA,A,4525,1329
BS,17127,OSPITALETTO,A,13521,928
BS,17132,PAITONE,A,2055,786
BS,17133,PALAZZOLO SULL'OGLIO,A,19558,2302
BS,17136,PASSIRANO,A,7116,1351
BS,17145,POLPENAZZE DEL GARDA,A,2559,912
BS,17150,PONTOGLIO,A,6960,1111
BS,17155,PREVALLE,A,6798,995
BS,17158,PUEGNAGO SUL GARDA,A,3230,1097
BS,17164,ROE' VOLCIANO,A,4490,578
BS,17166,ROVATO,A,18002,2613
BS,17180,SOIANO DEL LAGO,A,1854,578
BS,17192,URAGO D'OGLIO,A,4001,1055
BS,17201,VILLANUOVA SUL CLISI,A,5813,915
BS,17021,BORGOSATOLLO,AGG BS,9160,838
BS,17023,BOTTICINO,AGG BS,10700,1856
BS,17025,BOVEZZO,AGG BS,7558,641
BS,17029,BRESCIA,AGG BS,191618,9052
BS,17042,CASTEL MELLA,AGG BS,10573,751
BS,17043,CASTENEDOLO,AGG BS,11124,2628
BS,17048,CELLATICA,AGG BS,4942,657
BS,17057,COLLEBEATO,AGG BS,4763,536
BS,17061,CONCESIO,AGG BS,14770,1912
BS,17072,FLERO,AGG BS,8375,987
BS,17075,GARDONE VALTROMPIA,AGG BS,11848,2658
BS,17081,GUSSAGO,AGG BS,16585,2505
BS,17096,LUMEZZANE,AGG BS,23903,3173
BS,17104,MARCHENO,AGG BS,4464,2274
BS,17117,NAVE,AGG BS,11012,2713
BS,17161,REZZATO,AGG BS,13351,1828
BS,17165,RONCADELLE,AGG BS,9251,922
BS,17173,SAN ZENO NAVIGLIO,AGG BS,4584,619
BS,17174,SAREZZO,AGG BS,13260,1760
BS,17199,VILLA CARCINA,AGG BS,10941,1443
BS,17001,ACQUAFREDDA,B,1601,955
BS,17004,ALFIANELLO,B,2459,1367
BS,17008,AZZANO MELLA,B,2763,1049
BS,17009,BAGNOLO MELLA,B,12864,3129
BS,17011,BARBARIGA,B,2427,1137
BS,17013,BASSANO BRESCIANO,B,2206,959
BS,17015,BERLINGO,B,2540,460
BS,17020,BORGO SAN GIACOMO,B,5493,2929
BS,17026,BRANDICO,B,1651,845
BS,17034,CALVISANO,B,8598,4504
BS,17037,CAPRIANO DEL COLLE,B,4426,1402
BS,17039,CARPENEDOLO,B,12534,3025
BS,17041,CASTELCOVATI,B,6572,618
BS,17045,CASTREZZATO,B,6870,1369
BS,17053,CIGOLE,B,1662,997
BS,17060,COMEZZANO CIZZAGO,B,3654,1563
BS,17064,CORZANO,B,1296,1224
BS,17066,DELLO,B,5511,2345
BS,17071,FIESSE,B,2169,1612
BS,17073,GAMBARA,B,4782,3159
BS,17078,GHEDI,B,18398,6072
BS,17080,GOTTOLENGO,B,5296,2908
BS,17086,ISORELLA,B,4183,1539
BS,17088,LENO,B,14518,5871
BS,17091,LOGRATO,B,3806,1232
BS,17093,LONGHENA,B,619,341
BS,17097,MACLODIO,B,1502,506
BS,17099,MAIRANO,B,3265,1158
BS,17103,MANERBIO,B,13295,2775
BS,17108,MILZANO,B,1773,851
BS,17113,MONTICHIARI,B,22873,8114
BS,17114,MONTIRONE,B,5021,1053
BS,17122,OFFLAGA,B,4270,2295
BS,17125,ORZINUOVI,B,12372,4806
BS,17126,ORZIVECCHI,B,2479,989
BS,17137,PAVONE DEL MELLA,B,2845,1170
BS,17146,POMPIANO,B,3920,1519
BS,17147,PONCARALE,B,5272,1263
BS,17149,PONTEVICO,B,7120,2924
BS,17151,POZZOLENGO,B,3410,2133
BS,17152,PRALBOINO,B,2921,1723
BS,17159,QUINZANO D'OGLIO,B,6414,2143
BS,17160,REMEDELLO,B,3426,2137
BS,17162,ROCCAFRANCA,B,4784,1954
BS,17167,RUDIANO,B,5689,978
BS,17169,SALERANO SUL LAMBRO,B,2657,438
BS,17172,SAN GERVASIO BRESCIANO,B,2375,1051
BS,17138,SAN PAOLO,B,4436,1870
BS,17177,SENIGA,B,1619,1361
BS,17179,SIRMIONE,B,8050,2940
BS,17186,TORBOLE CASAGLIA,B,6265,1339
BS,17188,TRAVAGLIATO,B,13105,1781
BS,17190,TRENZANO,B,5515,2005
BS,17195,VEROLANUOVA,B,8126,2579
BS,17196,VEROLAVECCHIA,B,3915,2106
BS,17200,VILLACHIARA,B,1425,1674
BS,17203,VISANO,B,1912,1123
BS,17003,AGNOSINE,C,1842,1350
BS,17005,ANFO,C,485,2389
BS,17010,BAGOLINO,C,3937,10980
BS,17012,BARGHE,C,1182,546
BS,17019,BIONE,C,1454,1732
BS,17022,BORNO,C,2693,3056
BS,17024,BOVEGNO,C,2272,4786
BS,17030,BRIONE,C,699,681
BS,17031,CAINO,C,2064,1726
BS,17036,CAPOVALLE,C,404,2278
BS,17038,CAPRIOLO,C,9143,1080
BS,17044,CASTO,C,1908,2133
BS,17051,CEVO,C,962,3548
BS,17054,CIMBERGO,C,573,2474
BS,17055,CIVIDATE CAMUNO,D,2770,329
BS,17058,COLLIO,C,2326,5349
BS,17062,CORTE FRANCA,C,7164,1401
BS,17063,CORTENO GOLGI,C,2028,8282
BS,17068,EDOLO,C,4512,8907
BS,17074,GARDONE RIVIERA,C,2726,2117
BS,17076,GARGNANO,C,3051,7648
BS,17082,IDRO,C,1896,2234
BS,17083,INCUDINE,C,407,1999
BS,17084,IRMA,C,155,504
BS,17085,ISEO,C,9206,2660
BS,17087,LAVENONE,C,622,3189
BS,17089,LIMONE SUL GARDA,C,1147,2283
BS,17090,LODRINO,C,1815,1647
BS,17095,LOZIO,C,411,2367
BS,17098,MAGASA,C,155,1901
BS,17102,MANERBA DEL GARDA,C,4921,3495
BS,17105,MARMENTINO,C,691,1793
BS,17106,MARONE,C,3314,2357
BS,17109,MONIGA DEL GARDA,C,2437,1586
BS,17110,MONNO,C,571,3107
BS,17111,MONTE ISOLA,C,1811,1113
BS,17112,MONTICELLI BRUSATI,C,4310,1082
BS,17115,MURA,C,785,1258
BS,17121,ODOLO,C,2056,649
BS,17123,OME,C,3234,989
BS,17128,OSSIMO,C,1467,1489
BS,17129,PADENGHE SUL GARDA,C,4309,2217
BS,17130,PADERNO FRANCIACORTA,C,3750,556
BS,17131,PAISCO LOVENO,C,200,3559
BS,17134,PARATICO,C,4449,618
BS,17135,PASPARDO,C,656,1120
BS,17139,PERTICA ALTA,C,616,2090
BS,17140,PERTICA BASSA,C,697,3014
BS,17141,PEZZAZE,C,1604,2160
BS,17144,POLAVENO,C,2707,915
BS,17148,PONTE DI LEGNO,C,1811,10044
BS,17153,PRESEGLIE,C,1585,1146
BS,17154,PRESTINE,C,385,1625
BS,17156,PROVAGLIO D'ISEO,C,6980,1621
BS,17157,PROVAGLIO VAL SABBIA,C,971,1490
BS,17163,RODENGO SAIANO,C,8649,1285
BS,17168,SABBIO CHIESE,C,3774,1835
BS,17170,SALA COMACINA,C,599,497
BS,17171,SAN FELICE DEL BENACO,C,3388,2200
BS,17175,SAVIORE DELL'ADAMELLO,C,1038,8393
BS,17178,SERLE,C,3147,1856
BS,17181,SONICO,C,1275,6036
BS,17182,SULZANO,C,1942,1086
BS,17183,TAVERNOLE SUL MELLA,C,1405,1988
BS,17184,TEMU',C,1065,4332
BS,17185,TIGNALE,C,1309,4563
BS,17187,TOSCOLANO MADERNO,C,7988,5760
BS,17189,TREMOSINE,C,2178,7285
BS,17191,TREVISO BRESCIANO,C,575,1782
BS,17193,VALLIO,C,1310,1488
BS,17194,VALVESTINO,C,215,3126
BS,17197,VESTONE,C,4529,1298
BS,17198,VEZZA D'OGLIO,C,1448,5413
BS,17202,VIONE,C,724,3545
BS,17204,VOBARNO,C,8169,5331
BS,17205,ZONE,C,1111,1957
BS,17006,ANGOLO TERME,C D,2586,3053
BS,17007,ARTOGNE,C D,3519,2093
BS,17016,BERZO DEMO,C D,1756,1605
BS,17017,BERZO INFERIORE,C D,2429,2199
BS,17018,BIENNO,C D,3599,3061
BS,17027,BRAONE,C D,676,1331
BS,17028,BRENO,C D,5018,5983
BS,17035,CAPO DI PONTE,C D,2512,1860
BS,17047,CEDEGOLO,C D,1257,1110
BS,17049,CERVENO,C D,672,2153
BS,17050,CETO,C D,1969,3232
BS,17065,DARFO BOARIO TERME,C D,15553,3625
BS,17070,ESINE,C D,5312,3105
BS,17079,GIANICO,C D,2192,1323
BS,17094,LOSINE,C D,565,633
BS,17100,MALEGNO,C D,2096,694
BS,17101,MALONNO,C D,3345,3070
BS,17118,NIARDO,C D,1938,2218
BS,17124,ONO SAN PIETRO,C D,978,1389
BS,17142,PIAN CAMUNO,C D,4291,1097
BS,17206,PIANCOGNO,C D,4690,1343
BS,17143,PISOGNE,C D,8103,4933
BS,17176,SELLERO,C D,1499,1399
CO,13003,ALBAVILLA,A,6207,1049
CO,13004,ALBESE CON CASSANO,A,4076,822
CO,13005,ALBIOLO,A,2629,282
CO,13006,ALSERIO,A,1194,142
CO,13007,ALZATE BRIANZA,A,5092,764
CO,13009,ANZANO DEL PARCO,A,1721,324
CO,13010,APPIANO GENTILE,A,7582,1273
CO,13022,BEREGAZZO CON FIGLIARO,A,2537,383
CO,13023,BINAGO,A,4768,694
CO,13024,BIZZARONE,A,1543,284
CO,13028,BREGNANO,A,6077,625
CO,13029,BRENNA,A,1965,480
CO,13034,BULGAROGRASSO,A,3849,387
CO,13036,CADORAGO,A,7499,723
CO,13038,CAGNO,A,2036,348
CO,13045,CARBONATE,A,2923,514
CO,13046,CARIMATE,A,4280,520
CO,13055,CASSINA RIZZARDI,A,3167,349
CO,13059,CASTELNUOVO BOZZENTE,A,857,364
CO,13061,CAVALLASCA,A,2932,272
CO,13064,CERMENATE,A,9003,812
CO,13068,CIRIMIDO,A,2121,272
CO,13084,CUCCIAGO,A,3408,498
CO,13093,DREZZO,A,1183,191
CO,13095,ERBA,A,16997,1789
CO,13097,EUPILIO,A,2776,682
CO,13099,FALOPPIO,A,4097,418
CO,13100,FENEGRO',A,3094,532
CO,13109,GIRONICO,A,2258,430
CO,13114,GUANZATE,A,5640,683
CO,13118,INVERIGO,A,8851,1005
CO,13121,LAMBRUGO,A,2404,177
CO,13128,LIMIDO COMASCO,A,3598,446
CO,13131,LOCATE VARESINO,A,4199,581
CO,13133,LOMAZZO,A,9425,943
CO,13135,LUISAGO,A,2676,210
CO,13136,LURAGO D'ERBA,A,5265,474
CO,13137,LURAGO MARINONE,A,2414,385
CO,13138,LURATE CACCIVIO,A,10074,601
CO,13144,MASLIANICO,A,3372,131
CO,13147,MERONE,A,4164,323
CO,13153,MONGUZZO,A,2168,407
CO,13154,MONTANO LUCINO,A,4651,530
CO,13157,MONTORFANO,A,2692,359
CO,13159,MOZZATE,A,8205,1038
CO,13165,OLGIATE COMASCO,A,11268,1097
CO,13169,OLTRONA DI SAN MAMETTE,A,2268,270
CO,13170,ORSENIGO,A,2750,445
CO,13175,PARE',A,1766,221
CO,13193,PUSIANO,A,1315,312
CO,13197,RODERO,A,1202,257
CO,13199,RONAGO,A,1756,216
CO,13201,ROVELLASCA,A,7494,324
CO,13202,ROVELLO PORRO,A,6065,578
CO,13206,SAN FERMO DELLA BATTAGLIA,A,4421,311
CO,13215,SOLBIATE,A,2557,414
CO,13222,TAVERNERIO,A,5727,1158
CO,13227,TURATE,A,8981,1016
CO,13228,UGGIATE TREVANO,A,4332,576
CO,13232,VALMOREA,A,2690,313
CO,13238,VENIANO,A,2834,313
CO,13242,VERTEMATE CON MINOPRIO,A,4017,580
CO,13245,VILLA GUARDIA,A,7581,785
CO,13012,AROSIO,AGG MI,4873,271
CO,13035,CABIATE,AGG MI,7340,322
CO,13041,CANT̪,AGG MI,38978,2323
CO,13043,CAPIAGO INTIMIANO,AGG MI,5509,576
CO,13048,CARUGO,AGG MI,6221,416
CO,13053,CASNATE CON BERNATE,AGG MI,4908,523
CO,13075,COMO,AGG MI,84812,3731
